gene,score
GRHPR,0.0005274432810023243
LDHC,0.0005272442636054507
ATP5F1C,0.0005242788823793518
TXN,0.0005206183164900802
RPE,0.0005202183458488654
HSPD1,0.0005166656471919867
RPS3,0.000516366452463435
PSAT1,0.0005139064523974719
PHGDH,0.0005137678947503282
RPLP0,0.0005127904511521375
HSPE1,0.0005123999416460715
PDHA2,0.0005100411139391198
RPS18,0.0005039336283622175
SDHC,0.0005025110944004131
SOD1,0.0005018704262436714
RPS2,0.0005005651736375942
IDH3A,0.0004995802861282398
YWHAZ,0.0004995754341636154
PNMA8B,0.0004986715468325565
FN1,0.0004947896172529863
VCP,0.0004939054293053597
EEF1G,0.0004926371074396805
RPS9,0.0004924622127158968
ACAA2,0.0004924412338335933
RPL4,0.0004923879149354737
RPS20,0.0004916991526204399
SUCLA2,0.0004904980592956604
PRDX1,0.0004904239294339114
PARK7,0.0004903889427078621
EEF1A1,0.0004898718629262361
RPSA,0.0004896005406576693
ECHS1,0.0004891910768354443
RPL8,0.0004876500649054469
PARP6,0.0004870239600799899
TXNRD1,0.0004869414318390007
EFTUD2,0.00048671160789099353
PARP8,0.0004863113780192757
MDH1B,0.00048120957881316316
RPL3,0.00048095701513003444
HADHB,0.0004791927139561253
PPA1,0.00047848323079666306
RPL13A,0.00047835938995936176
ATP5F1D,0.00047781028220606934
CD44,0.00047708085785788814
RPL11,0.000476970988456201
GFM1,0.0004761849132642621
RPS5,0.00047358700967450065
PRDX6,0.00047070535247992803
CBS,0.0004706079223710885
TYMS,0.00047015263783678935
EIF5B,0.00046805329290151095
KARS1,0.0004674120249534631
TCP1,0.00046656186899773195
PRDX3,0.000466381298235499
GPD2,0.00046578990969414237
VARS1,0.0004653591570368882
RPS13,0.0004652048614062895
MARS1,0.00046516126468247685
HSP90B1,0.00046431131383154617
CCT2,0.00046429433475749914
RHOA,0.0004642788567872541
CSTF3,0.0004638596521993398
GLO1,0.0004635588676057428
IDH3G,0.00046281582712693345
SOX2,0.00046240639309140725
UQCRC1,0.00046057476026002805
CCT5,0.0004604365978412105
PRPS1,0.00046015371642019523
POLR2C,0.00045992090224276043
TSFM,0.0004598079129776973
IMP3,0.0004589455523773001
PPA2,0.0004583839039315868
PRDX2,0.0004571756406155262
RPS15,0.00045674922199272076
ACTG1,0.00045649541874400395
CALR,0.0004541255965935015
ANXA2,0.0004531300657255892
PPIA,0.00045135038998502495
UQCRC2,0.00045120061070911627
AK2,0.00045038499975768735
YWHAE,0.0004479927552105008
PLG,0.0004474519061864541
CCT3,0.00044737710231223924
PDIA3,0.00044714724148805065
POTEF,0.00044631072106013163
YWHAB,0.00044433730575890084
PSMD14,0.0004431285848976924
RPS4X,0.0004426633328421651
CCT6A,0.0004424408949409647
FLNA,0.0004384047177720155
TUBB,0.0004377228326558805
CFL1,0.0004367424722094479
MRRF,0.0004364917116442895
AHCY,0.00043643753935495054
PFN1,0.00043594980380197115
RPL19,0.00043590032773447657
H2BC21,0.0004353758335224845
EEF1A2,0.00043382773912171714
PAICS,0.0004337753186510806
CA9,0.000433702994557764
SEC61A1,0.00043310122435829943
TK1,0.0004317190080117793
PDK3,0.0004313749115526547
YWHAQ,0.00043013158562303633
YWHAG,0.0004297578149323071
PSMC3,0.0004295438091283513
PEBP1,0.00042935510570445856
B2M,0.0004276375343838084
MB,0.000426222798949268
TUBA1A,0.0004253897549647129
HNRNPA2B1,0.00042520350932862585
TUBA1B,0.0004247920336501514
H2AX,0.00042421420463140504
SLC25A5,0.00042178082096418353
P4HA1,0.00042110694456426017
PSMC4,0.00042109316783595297
TUBB2A,0.00042074190854229134
VIM,0.000420634265726306
TUBA1C,0.00042031995555326954
TUBB4B,0.00042002658762758065
RNASEH1,0.000419582610357533
AK3,0.00041910067151787483
AGR2,0.0004166267668327439
MRTFA,0.00041424272959553996
TUBA4A,0.00041378455424656693
AK4,0.0004119771666212252
PRDX4,0.00040916507682465717
MYH9,0.00040882723477256
TUBB6,0.0004087733804413115
PSMC6,0.00040863077552893425
PPIB,0.000408084492074036
ADH1A,0.0004043606631998828
SFN,0.00040244137673126036
PRDX5,0.0004009302699811087
STIP1,0.0004005832243397583
MIF,0.00040030984381348854
FLNB,0.0003970238210224661
STMN1,0.00039566470250757593
TOP2B,0.0003932905705777768
PLEC,0.0003893448870833836
RPS27A,0.00034538845627398964
EPRS1,0.0003453791038589019
ME1,0.00034408441467475057
RPEL1,0.0003416172501328129
UBC,0.0003386422620765191
ME3,0.00033194765384034365
UBB,0.0003273552697138993
ME2,0.00032667280767633523
ASS1,0.0003218730262534211
HSPA9,0.0003207401826714695
SRC,0.00031465348088811294
GOT1,0.0003127158699122842
GLUD2,0.0003112398982135544
H3-3B,0.0003105981503504156
H3C13,0.0003103209359211522
H3C12,0.0003090684493963213
RPS6,0.00030671925346908275
GLA,0.0003032487458924389
H3-4,0.00030268739254921264
PDHX,0.0003020811559088985
NDUFAB1,0.000300216728952505
TFRC,0.00029999792911909956
ALDH5A1,0.0002985700269266647
UMPS,0.0002985338398960198
AGL,0.00029771933396528755
